CustomerID,Churn,Recency,Frequency,TotalSpent,TotalItems,UniqueProducts,AvgOrderValue,AvgDaysBetweenPurchases,StdDaysBetweenPurchases,AvgBasketSize,MaxBasketSize,CustomerLifetimeDays,R_Score,F_Score,M_Score,RFM_Score,CustomerSegment
16384,0,171,1,409.1,200,24,409.1,0.0,0.0,200.0,200,171,1,1,2,4,At Risk
16385,0,66,2,273.82,152,36,136.91,5.777777777777778,34.666666666666664,76.0,85,274,3,2,2,7,Potential
16386,0,161,1,61.10000000000001,26,4,61.10000000000001,0.0,0.0,26.0,26,161,1,1,1,3,Lost
16387,1,230,1,94.36,44,4,94.36,0.0,0.0,44.0,44,230,1,1,1,3,Lost
16389,0,113,2,593.85,235,15,296.925,5.5,20.57911562725668,117.5,176,191,2,2,3,7,Potential
16392,1,177,1,217.89000000000001,201,41,217.89000000000001,0.0,0.0,201.0,201,177,1,1,1,3,Lost
16393,0,2,9,1746.85,977,95,194.09444444444443,1.2904761904761906,7.584068214437983,108.55555555555556,212,277,4,4,4,12,Champions
16394,0,79,3,588.52,630,47,196.17333333333332,2.4375,12.352803540862652,210.0,365,197,2,3,3,8,Loyal
16395,0,76,3,811.66,680,85,270.55333333333334,1.5631067961165048,15.27824924711959,226.66666666666666,350,238,2,3,3,8,Loyal
16398,1,62,2,1552.2,562,73,776.1,1.2692307692307692,11.209542638031499,281.0,407,161,3,2,4,9,Loyal
16399,0,143,1,164.49,111,30,164.49,0.0,0.0,111.0,111,143,2,1,1,4,At Risk
16400,1,2,1,303.93,172,28,303.93,0.0,0.0,172.0,172,2,4,1,2,7,Potential
16401,0,39,7,1445.5,1072,49,206.5,2.108695652173913,8.509150241970138,153.14285714285714,276,235,3,4,4,11,Champions
16402,1,172,2,241.25,110,55,120.625,1.8909090909090909,14.023357139235435,55.0,102,277,1,2,2,5,At Risk
16403,1,220,1,177.5,114,10,177.5,0.0,0.0,114.0,114,220,1,1,1,3,Lost
16405,1,210,2,74.85,19,3,37.425,2.3333333333333335,4.041451884327381,9.5,16,218,1,2,1,4,At Risk
16407,0,18,8,1392.3700000000001,674,76,174.04625000000001,1.7094017094017093,8.286944269670075,84.25,209,220,4,4,4,12,Champions
16409,0,58,3,993.05,579,105,331.01666666666665,1.0573248407643312,9.38168021022242,193.0,304,225,3,3,3,9,Loyal
16411,0,277,1,128.55,69,19,128.55,0.0,0.0,69.0,69,277,1,1,1,3,Lost
16414,0,188,1,50.8,16,3,50.8,0.0,0.0,16.0,16,188,1,1,1,3,Lost
16418,0,0,2,368.36,174,44,184.18,2.66,18.809040379562163,87.0,87,134,4,2,2,8,Loyal
16419,1,20,6,822.39,308,36,137.065,4.191489361702128,17.120593114817755,51.333333333333336,98,219,4,4,3,11,Champions
16422,0,15,29,2738.34,1142,29,94.42551724137931,3.324324324324324,5.517365134768507,39.37931034482759,168,277,4,4,4,12,Champions
16424,1,99,1,102.96000000000001,52,4,102.96000000000001,0.0,0.0,52.0,52,99,2,1,1,4,At Risk
16425,1,210,1,302.7,199,21,302.7,0.0,0.0,199.0,199,210,1,1,2,4,At Risk
16426,0,0,4,648.07,330,62,162.0175,2.4078947368421053,20.991539649156397,82.5,91,184,4,3,3,10,Champions
16427,1,171,2,166.06,96,6,83.03,3.5,8.573214099741124,48.0,72,192,1,2,1,4,At Risk
16429,1,14,1,284.55,9,2,284.55,0.0,0.0,9.0,9,14,4,1,2,7,Potential
16431,1,121,3,547.68,370,50,182.55999999999997,1.1506849315068493,9.831456364474967,123.33333333333333,175,205,2,3,3,8,Loyal
16434,0,4,4,853.84,406,49,213.46,3.8653846153846154,16.65924797181509,101.5,205,207,4,3,3,10,Champions
16440,0,122,1,272.46,115,35,272.46,0.0,0.0,115.0,115,122,2,1,2,5,At Risk
16441,0,199,1,211.0,110,12,211.0,0.0,0.0,110.0,110,199,1,1,1,3,Lost
16442,0,135,2,411.43,288,97,205.715,1.3711340206185567,13.50410399627713,144.0,227,268,2,2,2,6,Potential
